Allocation_Subcategory,City,College,Gift_Allocation,Amount,Year,Major,Prospect ID,State
NAT,New_York,NAT,Scholarship,4066,2011,Statistics,2507,NY
PAR,New_York,AGR,Campus_Resource,4985,2011,Entomology,1895,NY
TST,New_York,AGR,Endowment,5002,2011,Interior Design,1947,NY
TST,New_York,AGR,Endowment,7547,2011,Fisheries and Wildlife,1649,NY
TST,New_York,ART,Endowment,796,2011,Russian,2255,NY
TST,New_York,BIZ,Endowment,7510,2011,Supply Chain Management,2288,NY
TST,New_York,NUR,Endowment,3215,2011,Nursing,2383,NY
ANN,North_Las_Vegas,ENG,Endowment,5931,2011,Applied Engineering Sciences,2500,NV
FCE,North_Las_Vegas,BIZ,Endowment,2483,2011,Marketing,2609,NV
MSF,North_Las_Vegas,ART,Scholarship,10732,2011,Russian,2513,NV
MUS,North_Las_Vegas,MUS,Scholarship,6234,2011,Jazz Studies,2531,NV
AGR,Oklahoma_City,NAT,Scholarship,3349,2011,Earth Science Interdepartmental,1498,OK
DIV,Oklahoma_City,SOC,Endowment,9643,2011,Sociology,2369,OK
ENG,Oklahoma_City,AGR,Scholarship,659,2011,Food Science,2285,OK
TST,Oklahoma_City,BIZ,Endowment,7933,2011,Marketing,2544,OK
ANN,Omaha,AGR,Endowment,2305,2011,Environmental Studies and Agriscience,1397,NE
ANN,Omaha,SOC,Endowment,9818,2011,Human Development and Family Studies,2593,NE
ANN,Omaha,SOC,Endowment,6885,2011,Political Science,2257,NE
ISF,Omaha,AGR,Scholarship,189,2011,Food Industry Management,2420,NE
MSM,Omaha,ENG,Campus_Resource,4738,2011,Electrical Engineering,1428,NE
AGR,Orlando,NAT,Scholarship,8437,2011,Computational Mathematics,2282,FL
ALM,Orlando,SOC,Campus_Resource,2512,2011,Urban and Regional Planning,1410,FL
ANN,Orlando,SOC,Endowment,9776,2011,Geography,2260,FL
ART,Orlando,NAT,Scholarship,5109,2011,Zoology,1681,FL
ART,Orlando,NAT,Scholarship,8650,2011,Environmental Biology/Plant Biol,1415,FL
EDU,Orlando,ENG,Scholarship,2649,2011,Computer Science,2362,FL
EDU,Orlando,NAT,Scholarship,997,2011,Neuroscience,2611,FL
MSF,Orlando,AGR,Scholarship,7434,2011,Agribusiness Management,2360,FL
NAT,Orlando,SOC,Scholarship,8530,2011,Urban and Regional Planning,2345,FL
PAR,Orlando,AGR,Campus_Resource,1615,2011,Agriculture and Natural Resources-No Preference,2560,FL
PAR,Orlando,ART,Campus_Resource,451,2011,Interdisciplinary Humanities,1912,FL
ART,Overland_Park,ART,Scholarship,4738,2011,Global Studies in the Arts and Humanities,1890,KS
ART,Overland_Park,NAT,Scholarship,9329,2011,Environmental Biology/Zoology,1889,KS
FCE,Overland_Park,ART,Endowment,2861,2011,Apparel and Textiles,2338,KS
MSF,Overland_Park,MUS,Scholarship,2175,2011,Jazz Studies,2607,KS
MSM,Overland_Park,NAT,Campus_Resource,5819,2011,Plant Biology,2240,KS
NAT,Overland_Park,AGR,Scholarship,5963,2011,Environmental Economics and Policy,2486,KS
TST,Overland_Park,AGR,Endowment,9422,2011,Nutritional Sciences,1946,KS
TST,Paterson,NAT,Endowment,1601,2011,Zoology,2622,NJ
ALM,Philadelphia,SOC,Campus_Resource,7456,2011,Geographic Information Science,1906,PA
ENG,Philadelphia,BIZ,Scholarship,9143,2011,Marketing,2308,PA
FCE,Philadelphia,EDU,Endowment,3135,2011,Education,1730,PA
LIB,Philadelphia,ART,Campus_Resource,8881,2011,Arabic,1911,PA
NAT,Philadelphia,AGR,Scholarship,9453,2011,Horticulture,2484,PA
TST,Philadelphia,SOC,Endowment,1811,2011,Global & Area Studies - Soc Sci,2393,PA
AGR,Phoenix,NAT,Scholarship,4240,2011,Neuroscience,1627,AZ
ALM,Phoenix,POL,Campus_Resource,41,2011,Social Relations and Policy,1496,AZ
ANN,Phoenix,ART,Endowment,8942,2011,Interdisciplinary Humanities,1424,AZ
ANN,Phoenix,ART,Endowment,1330,2011,Professional Writing,2480,AZ
ANN,Phoenix,BIZ,Endowment,2439,2011,Supply Chain Management,1871,AZ
ANN,Phoenix,ENG,Endowment,3380,2011,Electrical Engineering,2556,AZ
ANN,Phoenix,MUS,Endowment,5040,2011,Composition,1614,AZ
ART,Phoenix,NUR,Scholarship,2838,2011,Nursing,1900,AZ
ART,Phoenix,VET,Scholarship,9077,2011,Preveterinary,2303,AZ
ATH,Phoenix,SOC,Campus_Resource,4958,2011,Social Work,1757,AZ
BIZ,Phoenix,NUR,Scholarship,11644,2011,Nursing,2572,AZ
EDU,Phoenix,SOC,Scholarship,3722,2011,Political Science,2361,AZ
ENG,Phoenix,BIZ,Scholarship,696,2011,General Management,2481,AZ
FCE,Phoenix,NAT,Endowment,4680,2011,Biomedical Laboratory Science,2312,AZ
MSF,Phoenix,ART,Scholarship,99,2011,Art Education,2461,AZ
MSF,Phoenix,SOC,Scholarship,9532,2011,Human Development and Family Studies,1679,AZ
MUS,Phoenix,SOC,Scholarship,3986,2011,Economics,2404,AZ
NAT,Phoenix,ART,Scholarship,2368,2011,Art History and Visual Culture,2237,AZ
PAR,Phoenix,NAT,Campus_Resource,6148,2011,Earth Science Interdepartmental,1657,AZ
TST,Phoenix,ART,Endowment,1942,2011,English,2243,AZ
TST,Phoenix,BIZ,Endowment,2679,2011,Finance,1576,AZ
FCE,Pittsburgh,EDU,Endowment,9523,2011,Education,2434,PA
AGR,Portland,NAT,Scholarship,3901,2011,Biochemistry and Molecular Biology/Biotechnology,2387,OR
ANN,Portland,POL,Endowment,9828,2011,Social Relations and Policy,2332,OR
ATH,Portland,ART,Campus_Resource,3496,2011,Art Education,1669,OR
ATH,Portland,SOC,Campus_Resource,2634,2011,Geography,2430,OR
AGR,Providence,ART,Scholarship,6978,2011,Arts & Letters-General,1389,RI
ALM,Providence,NAT,Campus_Resource,4789,2011,Geological Sciences,2499,RI
ART,Providence,EDU,Scholarship,7456,2011,Kinesiology,1444,RI
EDU,Providence,ART,Scholarship,2192,2011,German,1909,RI
ART,Provo,NAT,Scholarship,11314,2011,Astrophysics,2541,UT
ATH,Provo,ART,Campus_Resource,5433,2011,Art Education,2256,UT
DIV,Raleigh,AGR,Endowment,1864,2011,Food Industry Management,1685,NC
DIV,Raleigh,NAT,Endowment,9620,2011,Predental,2493,NC
MSF,Raleigh,COM,Scholarship,4973,2011,Advertising,1929,NC
AGR,Reno,SOC,Scholarship,5385,2011,Interdisciplinary Studies in Social Science,2489,NV
ANN,Reno,AGR,Endowment,4948,2011,Horticulture,1612,NV
AGR,Richmond,ART,Scholarship,4684,2011,Humanities-Prelaw,1446,VA
AGR,Richmond,MUS,Scholarship,9393,2011,Music Performance,1833,VA
ALM,Richmond,NAT,Campus_Resource,2869,2011,Chemical Physics,2412,VA
ANN,Richmond,NAT,Endowment,2965,2011,Chemistry,1930,VA
ART,Richmond,AGR,Scholarship,6972,2011,Natural Resource Recreation and Tourism,1442,VA
ART,Richmond,ART,Scholarship,5317,2011,Apparel and Textiles,1445,VA
ART,Richmond,NAT,Scholarship,6898,2011,Mathematics,2503,VA
DIV,Richmond,SOC,Endowment,2439,2011,World Politics,1409,VA
FCE,Richmond,AGR,Endowment,7082,2011,Food Science,2445,VA
NAT,Richmond,AGR,Scholarship,1022,2011,Agribusiness Management,2377,VA
NAT,Richmond,NAT,Scholarship,4469,2011,Biological Science Interdepartmental,1923,VA
TST,Richmond,AGR,Endowment,4839,2011,Animal Science,1894,VA
TST,Richmond,ENG,Endowment,7223,2011,Materials Science and Engineering,2416,VA
ANN,Rochester,ART,Endowment,22868,2011,German,1808,NY
ART,Rochester,BIZ,Scholarship,7753,2011,Finance,2320,NY
FCE,Rochester,ART,Endowment,7665,2011,Humanities-Prelaw,1892,NY
ISF,Rochester,AGR,Scholarship,4027,2011,Landscape Architecture,2550,NY
TST,Rochester,SOC,Endowment,4164,2011,Geography,2299,NY
AGR,Sacramento,EDU,Scholarship,650,2011,Kinesiology,1390,CA
ANN,Sacramento,SOC,Endowment,8479,2011,Geography,2267,CA
COM,Sacramento,ART,Scholarship,5669,2011,Studio Art,2249,CA
DIV,Sacramento,ENG,Endowment,3591,2011,Materials Science and Engineering,2502,CA
HON,Sacramento,BIZ,Campus_Resource,2779,2011,Marketing,1602,CA
LIB,Salem,MUS,Campus_Resource,5309,2011,Jazz Studies,2508,OR
MSM,Salem,ART,Campus_Resource,3724,2011,Professional Writing,1746,OR
RCR,Salem,POL,Campus_Resource,501,2011,Social Relations and Policy,2394,OR
RCR,Salem,SOC,Campus_Resource,9745,2011,Criminal Justice,1421,OR
ATH,Salt_Lake_City,ENG,Campus_Resource,4782,2011,Biosystems Engineering,2595,UT
EDU,Salt_Lake_City,AGR,Scholarship,11470,2011,Interior Design,2575,UT
NAT,Salt_Lake_City,EDU,Scholarship,9336,2011,Kinesiology,2388,UT
DIV,San_Antonio,SOC,Endowment,999,2011,Public Policy,1687,TX
NAT,San_Antonio,ART,Scholarship,5020,2011,Interdisciplinary Humanities,2376,TX
RCR,San_Antonio,NAT,Campus_Resource,11162,2011,Statistics,2596,TX
ART,San_Diego,SOC,Scholarship,8611,2011,Urban and Regional Planning,2547,CA
BIZ,San_Diego,AGR,Scholarship,1724,2011,Environmental Studies and Agriscience,2433,CA
COM,San_Diego,NAT,Scholarship,685,2011,Environmental Biology/Plant Biol,2398,CA
EDU,San_Diego,AGR,Scholarship,3219,2011,Natural Resource Recreation and Tourism,2241,CA
HON,San_Diego,NAT,Campus_Resource,5223,2011,Preoptometry,2533,CA
MSF,San_Diego,MUS,Scholarship,7333,2011,Composition,2632,CA
PAR,San_Diego,AGR,Campus_Resource,2178,2011,Entomology,2384,CA
VET,San_Diego,SOC,Scholarship,43,2011,Political Science,2515,CA
AGR,San_Francisco,EDU,Scholarship,4839,2011,Kinesiology,2431,CA
ANN,San_Francisco,ART,Endowment,3761,2011,Arts & Letters-General,2337,CA
ART,San_Francisco,MUS,Scholarship,2372,2011,Jazz Studies,2614,CA
ATH,San_Francisco,NAT,Campus_Resource,8646,2011,Chemical Physics,2514,CA
DIV,San_Francisco,POL,Endowment,628,2011,Social Relations and Policy,1924,CA
EDU,San_Francisco,AGR,Scholarship,6356,2011,Horticulture,1418,CA
EDU,San_Francisco,EDU,Scholarship,24932,2011,Kinesiology,1928,CA
FCE,San_Francisco,ENG,Endowment,8670,2011,Computer Science,2582,CA
HON,San_Francisco,NAT,Campus_Resource,7875,2011,Environmental Biology/Zoology,2442,CA
HON,San_Francisco,SOC,Campus_Resource,1576,2011,Sociology,2516,CA
ISF,San_Francisco,NAT,Scholarship,6754,2011,Statistics,2290,CA
LIB,San_Francisco,ENG,Campus_Resource,1198,2011,Materials Science and Engineering,1621,CA
LIB,San_Francisco,NAT,Campus_Resource,9223,2011,Biochemistry and Molecular Biology/Biotechnology,2258,CA
LIB,San_Francisco,NAT,Campus_Resource,4882,2011,Zoology,1386,CA
LIB,San_Francisco,SOC,Campus_Resource,9972,2011,Public Policy,2535,CA
NAT,San_Francisco,ART,Scholarship,6636,2011,Theatre,1425,CA
NAT,San_Francisco,ART,Scholarship,3622,2011,German,2449,CA
NAT,San_Francisco,NAT,Scholarship,1965,2011,Biological Science Interdepartmental,1414,CA
NAT,San_Francisco,NAT,Scholarship,1946,2011,Biochemistry and Molecular Biology/Biotechnology,1387,CA
RCR,San_Francisco,NAT,Campus_Resource,8078,2011,Human Biology,1402,CA
TST,San_Francisco,AGR,Endowment,8709,2011,Food Industry Management,2289,CA
TST,San_Francisco,ART,Endowment,811,2011,Art History and Visual Culture,2624,CA
ANN,Savannah,NAT,Endowment,8793,2011,Biological Science Interdepartmental,2346,GA
FCE,Savannah,NAT,Endowment,9497,2011,Human Biology,2385,GA
ISF,Savannah,NAT,Scholarship,8063,2011,Environmental Biology/Zoology,2429,GA
LIB,Savannah,SOC,Campus_Resource,612,2011,Public Policy,1801,GA
NAT,Savannah,SOC,Scholarship,5845,2011,Political Science-Prelaw,1491,GA
ISF,Scottsdale,NAT,Scholarship,8542,2011,Preoptometry,2467,AZ
TST,Scottsdale,NAT,Endowment,833,2011,Biochemistry and Molecular Biology/Biotechnology,2631,AZ
AGR,Seattle,AGR,Scholarship,2126,2011,Food Industry Management,2496,WA
ART,Seattle,COM,Scholarship,5720,2011,Media and Information,2458,WA
COM,Seattle,ART,Scholarship,8692,2011,Apparel and Textile Design,2246,WA
DIV,Seattle,AGR,Endowment,8592,2011,Horticulture,1592,WA
ENG,Seattle,ART,Scholarship,9745,2011,English,1883,WA
FCE,Seattle,AGR,Endowment,52,2011,Packaging,2441,WA
FCE,Seattle,AGR,Endowment,3670,2011,Interior Design,1712,WA
MSF,Seattle,SOC,Scholarship,4517,2011,Human Development and Family Studies,2273,WA
MSM,Seattle,NAT,Campus_Resource,5794,2011,Human Biology,1635,WA
NAT,Seattle,NAT,Scholarship,3726,2011,Biomedical Laboratory Science,2587,WA
PAR,Seattle,BIZ,Campus_Resource,8893,2011,Hospitality Business,1392,WA
ART,Spokane,SOC,Scholarship,8862,2011,Social Work,2400,WA
FCE,Spokane,COM,Endowment,8725,2011,Advertising,2465,WA
RCR,Spokane,NAT,Campus_Resource,8955,2011,Predental,1881,WA
TST,Spokane,NAT,Endowment,5349,2011,Physical Science Interdepartmental,2313,WA
COM,Springfield,ART,Scholarship,8468,2011,Japanese,2543,IL
DIV,Springfield,ART,Endowment,9944,2011,Art History and Visual Culture,2396,IL
DIV,Springfield,SOC,Endowment,4604,2011,Interdisciplinary Studies in Social Science,2259,IL
ANN,St._Louis,AGR,Endowment,7188,2011,Entomology,1647,MO
ART,St._Louis,AGR,Scholarship,1384,2011,Agribusiness Management,1958,MO
DIV,St._Louis,EDU,Endowment,8942,2011,Education,1886,MO
DIV,St._Louis,NAT,Endowment,9941,2011,Zoology,1922,MO
ISF,St._Louis,ENG,Scholarship,2048,2011,Materials Science and Engineering,1781,MO
MUS,St._Louis,EDU,Scholarship,8339,2011,Education,2275,MO
MUS,St._Louis,ENG,Scholarship,7415,2011,Biosystems Engineering,2395,MO
TST,St._Louis,BIZ,Endowment,4332,2011,Human Resource Management,2356,MO
ALM,St._Paul,AGR,Campus_Resource,3784,2011,Agribusiness Management,2281,MN
DIV,Syracuse,ENG,Endowment,3957,2011,Materials Science and Engineering,2488,NY
ENG,Syracuse,SOC,Scholarship,2022,2011,Public Policy,2419,NY
ISF,Syracuse,NAT,Scholarship,5656,2011,Mathematics,1939,NY
TST,Syracuse,NAT,Endowment,1707,2011,Physical Science Interdepartmental,2253,NY
AGR,Tallahassee,ENG,Scholarship,3263,2011,Applied Engineering Sciences,1709,FL
ANN,Tallahassee,NAT,Endowment,1633,2011,Biomedical Laboratory Science,1426,FL
ANN,Tallahassee,NUR,Endowment,4036,2011,Summer Research Program,1485,FL
ANN,Tallahassee,POL,Endowment,9783,2011,Comparative Cultures and Politics,1608,FL
ART,Tallahassee,AGR,Scholarship,4672,2011,Fisheries and Wildlife,2459,FL
COM,Tallahassee,AGR,Scholarship,630,2011,Agribusiness Management,2600,FL
DIV,Tallahassee,AGR,Endowment,7665,2011,Agribusiness Management,1430,FL
ISF,Tallahassee,ART,Scholarship,6867,2011,Experience Architecture,2477,FL
MSF,Tallahassee,BIZ,Scholarship,7746,2011,General Management,1578,FL
TST,Tallahassee,ART,Endowment,5818,2011,Humanities-Prelaw,1645,FL
TST,Tallahassee,NAT,Endowment,7081,2011,Statistics,2438,FL
VET,Tallahassee,AGR,Scholarship,1965,2011,Environmental Economics and Policy,1876,FL
NAT,Tucson,MUS,Scholarship,1858,2011,Music,1673,AZ
TST,Tucson,NAT,Endowment,5620,2011,Plant Biology,2238,AZ
TST,Tulsa,SOC,Endowment,555,2011,Political Science,2302,OK
TST,Tulsa,SOC,Endowment,1633,2011,Human Development and Family Studies,1888,OK
ANN,Washington,SOC,Endowment,9398,2011,Urban and Regional Planning,2498,DC
FCE,Washington,MUS,Endowment,2233,2011,Music,2278,DC
FCE,Washington,SOC,Endowment,6567,2011,Psychology,2592,DC
HON,Washington,AGR,Campus_Resource,204,2011,Environmental Studies and Agriscience,2341,DC
HON,Washington,NAT,Campus_Resource,2850,2011,Environmental Biology/Microbiology,2295,DC
ISF,Washington,SOC,Scholarship,3960,2011,History Education,2386,DC
NAT,Washington,NAT,Scholarship,9249,2011,Biomedical Laboratory Science,2286,DC
NAT,Washington,SOC,Scholarship,7020,2011,Interdisciplinary Studies in Social Science - Social Science Education,1932,DC
PAR,Washington,AGR,Campus_Resource,1763,2011,Packaging,1399,DC
PAR,Washington,ENG,Campus_Resource,6526,2011,Computer Engineering,2451,DC
PAR,Washington,NUR,Campus_Resource,431,2011,Summer Research Program,1400,DC
ANN,West_Valley_City,SOC,Endowment,7843,2011,Psychology,1724,UT
TST,West_Valley_City,ART,Endowment,3752,2011,Interdisciplinary Humanities,2447,UT
DIV,Wichita,BIZ,Endowment,1349,2011,Finance,2426,KS
DIV,Wichita,NAT,Endowment,5965,2011,Chemical Physics,2623,KS
DIV,Wichita,SOC,Endowment,662,2011,Political Science,2350,KS
ANN,Alexandria,ART,Endowment,5524,2012,Arabic,1940,VA
ANN,Alexandria,EDU,Endowment,6163,2012,Athletic Training,2382,VA
ART,Alexandria,ART,Scholarship,5148,2012,Professional Writing,2629,VA
HON,Alexandria,NUR,Campus_Resource,6195,2012,Prenursing,1319,VA
ISF,Alexandria,ENG,Scholarship,91,2012,Mechanical Engineering,2130,VA
ISF,Alexandria,POL,Scholarship,7479,2012,Political Theory and Constitutional Democracy,2456,VA
FCE,Amarillo,AGR,Endowment,6966,2012,Interior Design,2524,TX
FCE,Amarillo,NUR,Endowment,5057,2012,Summer Research Program,1312,TX
LIB,Amarillo,ART,Campus_Resource,5085,2012,German,1902,TX
ANN,Anaheim,ART,Endowment,9753,2012,Professional Writing,2401,CA
DIV,Anaheim,BIZ,Endowment,7903,2012,Supply Chain Management,1307,CA
NAT,Anaheim,NAT,Scholarship,3937,2012,Neuroscience,2634,CA
ANN,Atlanta,AGR,Endowment,5619,2012,Agribusiness Management,1254,GA
FCE,Atlanta,NAT,Endowment,6891,2012,Plant Biology,2546,GA
HON,Atlanta,NAT,Campus_Resource,2163,2012,Preoptometry,2114,GA
MSF,Atlanta,NAT,Scholarship,2429,2012,Microbiology,1327,GA
NAT,Atlanta,NAT,Scholarship,9431,2012,Mathematics,2563,GA
ATH,Austin,ART,Campus_Resource,6451,2012,Apparel and Textiles,1289,TX
BIZ,Austin,ENG,Scholarship,8166,2012,Applied Engineering Sciences,1315,TX
NAT,Austin,NAT,Scholarship,2489,2012,Environmental Geosciences,1980,TX
NAT,Austin,SOC,Scholarship,5386,2012,Interdisciplinary Studies in Social Science,2589,TX
COM,Baton_Rouge,AGR,Scholarship,2069,2012,Interior Design,2612,LA
DIV,Baton_Rouge,BIZ,Endowment,7771,2012,Marketing,2443,LA
DIV,Baton_Rouge,EDU,Endowment,8571,2012,Education,1365,LA
ANN,Billings,POL,Endowment,8481,2012,Social Relations and Policy,2011,MT
NAT,Billings,NAT,Scholarship,6197,2012,Biochemistry and Molecular Biology/Biotechnology,2046,MT
ANN,Birmingham,SOC,Endowment,1561,2012,Anthropology,2537,AL
ART,Birmingham,POL,Scholarship,9242,2012,College of Political Science,2444,AL
ATH,Birmingham,ART,Campus_Resource,5163,2012,Apparel and Textile Design,1921,AL
LIB,Birmingham,ART,Campus_Resource,9600,2012,Art History and Visual Culture,1914,AL
TST,Birmingham,ART,Endowment,8665,2012,Studio Art,1938,AL
TST,Birmingham,NAT,Endowment,5245,2012,Environmental Geosciences,1920,AL
ANN,Boston,AGR,Endowment,3521,2012,Fisheries and Wildlife,1384,MA
ART,Boston,AGR,Scholarship,10680,2012,Horticulture,2552,MA
ART,Boston,ART,Scholarship,4374,2012,Women's and Gender Studies,2601,MA
ART,Boston,ENG,Scholarship,7575,2012,Environmental Engineering,1292,MA
DIV,Boston,BIZ,Endowment,7129,2012,Accounting,1340,MA
DIV,Boston,SOC,Endowment,4264,2012,Economics,2061,MA
HON,Boston,POL,Campus_Resource,9788,2012,College of Political Science,2029,MA
NAT,Boston,BIZ,Scholarship,3873,2012,Human Resource Management,2470,MA
TST,Boston,MUS,Endowment,1634,2012,Jazz Studies,1926,MA
TST,Casper,ART,Endowment,4374,2012,Studio Art,2628,WY
LIB,Cedar_Rapids,ART,Campus_Resource,892,2012,English,1401,IA
DIV,Charleston,SOC,Endowment,1211,2012,Criminal Justice,2478,SC
NAT,Charleston,NAT,Scholarship,9094,2012,Biochemistry and Molecular Biology/Biotechnology,2448,SC
ALM,Charlotte,ART,Campus_Resource,3423,2012,Spanish,2522,NC
ANN,Charlotte,MUS,Endowment,2585,2012,Composition,1261,NC
ART,Charlotte,EDU,Scholarship,274,2012,Special Education-Learning Disabilities,2621,NC
FCE,Charlotte,ENG,Endowment,6375,2012,Applied Engineering Sciences,2397,NC
FCE,Charlotte,NAT,Endowment,9451,2012,Chemistry,2460,NC
RCR,Charlotte,POL,Campus_Resource,6117,2012,College of Political Science,2454,NC
AGR,Chicago,NAT,Scholarship,319,2012,Environmental Geosciences,2407,IL
ALM,Chicago,EDU,Campus_Resource,4358,2012,Kinesiology,2626,IL
ANN,Chicago,ART,Endowment,5874,2012,Apparel and Textiles,1325,IL
ANN,Chicago,ENG,Endowment,3414,2012,Computer Engineering,2468,IL
ART,Chicago,BIZ,Scholarship,2300,2012,Marketing,1913,IL
ART,Chicago,SOC,Scholarship,5981,2012,Geographic Information Science,1405,IL
ATH,Chicago,BIZ,Campus_Resource,5117,2012,General Management,1965,IL
BIZ,Chicago,NAT,Scholarship,3600,2012,Biochemistry and Molecular Biology/Biotechnology,2026,IL
DIV,Chicago,AGR,Endowment,6225,2012,Natural Resource Recreation and Tourism,2006,IL
ENG,Chicago,MUS,Scholarship,6723,2012,Music,2098,IL
FCE,Chicago,MUS,Endowment,9411,2012,Music Performance,2584,IL
NAT,Chicago,AGR,Scholarship,3240,2012,Environmental Studies and Agriscience,2390,IL
NAT,Chicago,AGR,Scholarship,11339,2012,Environmental Studies and Agriscience,2472,IL
NAT,Chicago,ART,Scholarship,697,2012,Art Education,2506,IL
NAT,Chicago,MUS,Scholarship,1483,2012,Composition,2567,IL
PAR,Chicago,SOC,Campus_Resource,8886,2012,Economics,1979,IL
RCR,Chicago,ART,Campus_Resource,9585,2012,Linguistics,1324,IL
RCR,Chicago,BIZ,Campus_Resource,650,2012,Accounting,2035,IL
TST,Chicago,ART,Endowment,8206,2012,Women's and Gender Studies,2501,IL
TST,Chicago,EDU,Endowment,3995,2012,Special Education-Learning Disabilities,2492,IL
TST,Chicago,ENG,Endowment,10020,2012,Computer Science,2599,IL
AGR,Cincinnati,MUS,Scholarship,9657,2012,Music,2106,OH
ALM,Cincinnati,SOC,Campus_Resource,7869,2012,Geographic Information Science,2561,OH
ANN,Cincinnati,ART,Endowment,3176,2012,Humanities-Prelaw,2518,OH
ANN,Cincinnati,EDU,Endowment,9632,2012,Athletic Training,2373,OH
ANN,Cincinnati,SOC,Endowment,7350,2012,Economics,2557,OH
ART,Cincinnati,ART,Scholarship,2537,2012,Apparel and Textiles,2633,OH
BIZ,Cincinnati,ART,Scholarship,4078,2012,Women's and Gender Studies,2402,OH
BIZ,Cincinnati,NAT,Scholarship,8459,2012,Environmental Biology/Plant Biol,2432,OH
DIV,Cincinnati,NUR,Endowment,4090,2012,Prenursing,1403,OH
DIV,Cincinnati,SOC,Endowment,369,2012,Geographic Information Science,2020,OH
FCE,Cincinnati,ART,Endowment,8474,2012,Theatre,1952,OH
HON,Cincinnati,AGR,Campus_Resource,8006,2012,Natural Resource Recreation and Tourism,1905,OH
ISF,Cincinnati,ART,Scholarship,9055,2012,German,2440,OH
NAT,Cincinnati,ENG,Scholarship,711,2012,Computer Engineering,2112,OH
PAR,Cincinnati,ART,Campus_Resource,9013,2012,Women's and Gender Studies,2064,OH
PAR,Cincinnati,VET,Campus_Resource,9127,2012,Preveterinary,2542,OH
RCR,Cincinnati,ART,Campus_Resource,3404,2012,Professional Writing,1919,OH
RCR,Cincinnati,NAT,Campus_Resource,9800,2012,Geological Sciences,2439,OH
TST,Cincinnati,SOC,Endowment,780,2012,Interdisciplinary Studies in Social Science - Social Science Education,2579,OH
AGR,Cleveland,NAT,Scholarship,8538,2012,Biochemistry and Molecular Biology/Biotechnology,2144,OH
BIZ,Colorado_Springs,ART,Scholarship,8257,2012,Arts & Letters-General,1268,CO
DIV,Colorado_Springs,ENG,Endowment,2911,2012,Applied Engineering Sciences,2140,CO
FCE,Colorado_Springs,NAT,Endowment,6480,2012,Zoology,2041,CO
ISF,Colorado_Springs,ENG,Scholarship,5463,2012,Biosystems Engineering,2466,CO
LIB,Colorado_Springs,AGR,Campus_Resource,5074,2012,Horticulture,2566,CO
NAT,Colorado_Springs,AGR,Scholarship,4385,2012,Construction Management,2415,CO
TST,Colorado_Springs,EDU,Endowment,850,2012,Education,2494,CO
TST,Colorado_Springs,SOC,Endowment,10112,2012,Interdisciplinary Studies in Social Science,2597,CO
AGR,Columbia,SOC,Scholarship,5239,2012,Sociology,1385,SC
FCE,Columbia,ART,Endowment,3883,2012,Women's and Gender Studies,2089,SC
FCE,Columbia,SOC,Endowment,2022,2012,Criminal Justice,1249,SC
TST,Columbia,ART,Endowment,5724,2012,Apparel and Textile Design,1331,SC
AGR,Dallas,BIZ,Scholarship,1757,2012,Hospitality Business,2062,TX
AGR,Dallas,ENG,Scholarship,11985,2012,Electrical Engineering,2565,TX
ART,Dallas,ART,Scholarship,10870,2012,Philosophy,2521,TX
ART,Dallas,BIZ,Scholarship,7342,2012,Hospitality Business,2062,TX
BIZ,Dallas,NAT,Scholarship,5510,2012,Chemical Physics,2060,TX
DIV,Dallas,BIZ,Endowment,3861,2012,General Management,2594,TX
FCE,Dallas,AGR,Endowment,2573,2012,Agriculture and Natural Resources-No Preference,2578,TX
FCE,Dallas,SOC,Endowment,2693,2012,Criminal Justice,2411,TX
LIB,Dallas,NAT,Campus_Resource,7929,2012,Environmental Biology/Microbiology,2483,TX
MSF,Dallas,NAT,Scholarship,7895,2012,Chemical Physics,2060,TX
MSM,Dallas,AGR,Campus_Resource,3912,2012,Horticulture,1375,TX
MSM,Dallas,ART,Campus_Resource,6727,2012,Studio Art,2463,TX
NAT,Dallas,EDU,Scholarship,11593,2012,Athletic Training,2379,TX
NAT,Dallas,POL,Scholarship,4463,2012,College of Political Science,2532,TX
NAT,Dallas,POL,Scholarship,10846,2012,College of Political Science,2549,TX
PAR,Dallas,NAT,Campus_Resource,7553,2012,Environmental Geosciences,2520,TX
TST,Dallas,NAT,Endowment,2919,2012,Geological Sciences,2505,TX
TST,Dallas,VET,Endowment,631,2012,Preveterinary,1908,TX
AGR,Denver,AGR,Scholarship,2425.5,2012,Construction Management,2619,CO
AGR,Denver,ART,Scholarship,13429.5,2012,Art Education,2066,CO
AGR,Denver,NAT,Scholarship,13083,2012,Physical Science Interdepartmental,2473,CO
ALM,Denver,AGR,Campus_Resource,6292.5,2012,Nutritional Sciences,2405,CO
ANN,Denver,AGR,Endowment,2278.5,2012,Agribusiness Management,2617,CO
ANN,Denver,ART,Endowment,12484.5,2012,Philosophy,1918,CO
ANN,Denver,EDU,Endowment,5727,2012,Special Education-Learning Disabilities,1323,CO
ANN,Denver,ENG,Endowment,5400,2012,Computer Engineering,1982,CO
ANN,Denver,VET,Endowment,6376.5,2012,Preveterinary,1368,CO
ART,Denver,AGR,Scholarship,10374,2012,Agribusiness Management,2519,CO
ART,Denver,NAT,Scholarship,5989.5,2012,Chemical Physics,2408,CO
ART,Denver,SOC,Scholarship,3076.5,2012,Economics,1369,CO
ART,Denver,SOC,Scholarship,13518,2012,Sociology,2044,CO
