age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,services,divorced,secondary,0,221,1,0,cellular,14,may,150,1,360,1,failure,0
31,management,single,tertiary,0,1130,1,0,cellular,17,apr,224,3,74,4,failure,0
37,blue-collar,divorced,secondary,0,33,1,0,cellular,20,nov,106,2,167,1,failure,0
57,technician,married,secondary,0,589,1,0,cellular,2,feb,223,1,76,4,failure,0
33,management,single,tertiary,0,201,1,0,cellular,19,nov,171,1,183,1,failure,0
54,self-employed,married,secondary,0,641,1,0,cellular,17,apr,472,1,148,2,failure,0
30,services,single,secondary,0,20,1,0,cellular,20,apr,404,6,340,1,failure,0
51,blue-collar,married,primary,0,40,1,0,cellular,13,may,79,1,370,1,failure,0
38,blue-collar,single,secondary,0,13156,1,0,cellular,17,apr,291,4,331,1,failure,0
30,technician,single,secondary,0,4787,1,0,cellular,18,nov,266,1,167,2,failure,0
35,blue-collar,married,secondary,0,305,1,0,cellular,18,may,7,7,367,25,failure,0
45,technician,married,secondary,0,999,1,0,cellular,20,nov,215,6,188,2,failure,0
35,technician,single,secondary,0,175,1,0,cellular,29,jan,219,1,246,1,failure,0
35,blue-collar,married,secondary,0,5304,1,0,cellular,20,nov,340,1,183,2,failure,0
37,management,married,primary,0,3953,1,0,cellular,6,apr,610,2,138,1,failure,0
33,technician,single,secondary,0,920,1,0,cellular,21,nov,58,1,122,4,failure,0
33,technician,married,secondary,0,4790,1,0,cellular,20,apr,137,1,272,2,failure,0
53,blue-collar,married,primary,0,238,1,0,cellular,11,may,238,2,361,5,failure,0
38,blue-collar,married,secondary,0,1205,1,0,cellular,20,apr,45,4,153,1,failure,0
33,management,married,secondary,0,3935,1,0,cellular,6,may,765,1,342,2,failure,1
35,technician,single,tertiary,0,2658,1,0,cellular,19,aug,768,2,141,3,failure,1
25,admin.,single,tertiary,0,760,1,0,cellular,27,may,223,3,89,2,failure,1
37,management,married,tertiary,0,393,1,0,cellular,14,may,567,3,275,4,failure,1
75,retired,divorced,tertiary,0,3810,1,0,cellular,16,nov,262,1,183,1,failure,1
52,technician,married,secondary,0,195,1,0,cellular,18,feb,220,1,63,5,failure,1
58,self-employed,married,primary,0,1013,1,0,cellular,11,aug,206,1,461,1,failure,1
42,technician,married,secondary,0,994,1,0,cellular,11,aug,149,1,78,5,failure,1
55,blue-collar,divorced,secondary,0,1613,1,0,cellular,3,apr,296,1,270,3,failure,1
48,management,married,secondary,0,4415,1,0,cellular,8,apr,1032,3,141,7,failure,1
53,admin.,single,secondary,0,2398,1,0,cellular,2,aug,317,1,180,2,failure,1
49,admin.,married,secondary,0,197,1,0,cellular,13,apr,223,1,182,2,failure,1
51,management,single,tertiary,0,297,1,0,cellular,15,may,415,4,375,1,failure,1
39,technician,divorced,secondary,0,902,1,0,cellular,10,feb,691,2,180,5,failure,1
40,management,single,tertiary,0,0,1,0,cellular,23,feb,228,2,182,6,failure,1
47,technician,married,secondary,0,1167,1,0,cellular,30,apr,968,1,87,5,failure,1
35,housemaid,married,tertiary,0,1265,1,0,cellular,15,may,326,5,179,4,failure,1
34,management,married,tertiary,0,3301,1,0,cellular,17,jun,485,2,227,4,failure,1
35,management,married,secondary,0,724,1,0,cellular,14,jul,287,2,415,1,failure,1
34,admin.,divorced,secondary,0,479,1,0,cellular,12,may,515,1,350,5,failure,1
45,blue-collar,single,secondary,0,0,1,0,cellular,26,apr,1472,1,192,4,failure,1
32,technician,single,secondary,0,230,1,0,cellular,18,may,442,1,266,8,failure,1
49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,451,1,169,2,failure,1
34,admin.,married,secondary,0,2374,1,0,cellular,9,nov,161,1,209,2,failure,1
43,management,single,tertiary,0,1696,1,0,cellular,26,aug,257,1,474,3,failure,1
32,admin.,single,secondary,0,678,1,0,cellular,4,feb,1579,1,246,4,failure,1
52,blue-collar,married,secondary,0,2087,1,0,cellular,31,aug,267,1,474,1,failure,1
33,admin.,married,tertiary,0,79,1,0,cellular,22,oct,249,2,335,2,failure,1
33,services,divorced,secondary,0,2411,1,0,cellular,23,oct,130,1,161,1,failure,1
39,admin.,married,secondary,0,607,1,0,cellular,12,may,454,2,364,3,failure,1
48,blue-collar,married,secondary,0,480,1,0,cellular,15,may,830,1,352,2,failure,1
45,management,single,tertiary,0,2048,1,0,cellular,18,oct,310,1,804,1,failure,1
43,technician,married,secondary,0,0,0,1,cellular,8,may,9,2,172,5,failure,0
33,technician,single,tertiary,0,696,0,1,cellular,5,feb,193,1,176,8,failure,0
55,management,married,primary,0,621,0,1,cellular,2,feb,114,1,208,1,failure,0
48,blue-collar,married,primary,0,1092,0,1,cellular,18,nov,79,1,172,8,failure,0
28,management,single,tertiary,0,882,0,1,cellular,29,jan,94,1,205,2,failure,0
47,admin.,married,secondary,0,1934,0,1,cellular,14,may,225,1,364,1,failure,0
58,retired,single,secondary,0,1640,0,1,cellular,4,feb,72,6,274,4,failure,0
34,technician,single,secondary,0,341,0,1,cellular,29,jan,136,1,262,3,failure,0
54,entrepreneur,married,tertiary,0,1544,0,1,cellular,5,feb,85,7,196,3,failure,0
56,blue-collar,married,secondary,0,2190,0,1,cellular,30,jan,90,2,232,1,failure,0
46,management,single,tertiary,0,46,0,1,cellular,17,nov,80,1,152,1,failure,0
34,admin.,single,secondary,0,10,0,1,cellular,18,nov,162,1,173,3,failure,0
52,technician,married,secondary,0,1818,0,1,cellular,17,nov,189,2,111,4,failure,0
38,entrepreneur,married,tertiary,0,1514,0,1,cellular,21,nov,160,3,120,3,failure,0
58,retired,married,secondary,0,3382,0,1,cellular,28,may,294,2,309,2,failure,0
33,services,married,secondary,0,4789,1,1,cellular,11,may,220,1,339,4,failure,0
43,services,married,primary,0,-88,1,1,cellular,17,apr,313,1,147,2,failure,0
31,blue-collar,married,secondary,0,360,1,1,cellular,29,jan,89,1,241,1,failure,0
29,admin.,single,secondary,0,428,1,1,cellular,7,may,54,1,345,2,failure,0
49,blue-collar,married,secondary,0,8545,1,1,cellular,6,may,199,7,167,1,failure,0
41,management,married,tertiary,0,832,1,1,cellular,21,nov,164,1,176,1,failure,0
36,blue-collar,single,secondary,0,219,1,1,cellular,11,may,270,2,347,1,failure,0
38,blue-collar,married,secondary,0,121,1,1,cellular,6,feb,168,1,212,2,failure,0
40,technician,married,secondary,0,56,1,1,cellular,29,jan,194,1,247,1,failure,0
60,management,married,primary,0,252,1,1,cellular,13,apr,123,2,147,3,failure,0
41,technician,married,secondary,0,2125,1,1,cellular,21,nov,285,3,116,4,failure,0
59,management,single,secondary,0,671,1,1,cellular,29,jan,219,2,259,5,failure,0
34,technician,single,tertiary,0,144,1,1,cellular,14,oct,104,1,85,19,failure,0
56,technician,married,secondary,0,150,1,1,cellular,11,may,102,6,349,1,failure,0
52,technician,married,secondary,0,196,1,1,cellular,24,feb,116,1,273,3,failure,0
35,blue-collar,married,secondary,0,6411,1,1,cellular,30,jan,144,1,266,2,failure,0
34,management,single,tertiary,0,673,1,1,cellular,20,nov,271,1,184,1,failure,0
45,technician,single,unknown,0,7108,1,1,cellular,18,nov,53,1,172,3,failure,0
32,management,married,secondary,0,6217,1,1,cellular,18,nov,486,2,181,2,failure,0
38,technician,married,secondary,0,821,1,1,cellular,17,nov,224,2,180,1,failure,0
42,management,married,primary,0,-679,1,1,cellular,6,may,159,1,343,2,failure,0
45,blue-collar,married,secondary,0,2926,1,1,cellular,19,nov,482,3,120,2,failure,0
28,blue-collar,single,secondary,0,1065,1,1,cellular,17,apr,406,1,317,1,failure,0
34,entrepreneur,married,secondary,0,2,1,1,cellular,5,may,184,1,167,6,failure,0
26,services,single,secondary,0,512,1,1,cellular,30,jan,206,5,239,3,failure,0
40,technician,married,secondary,0,0,1,1,cellular,26,jul,105,2,172,1,failure,0
39,management,married,tertiary,0,691,1,1,cellular,16,apr,517,1,255,1,failure,0
46,admin.,married,secondary,0,0,1,1,cellular,20,apr,239,2,259,2,failure,0
57,blue-collar,married,secondary,0,1521,1,1,cellular,18,may,102,2,178,5,failure,0
40,self-employed,married,secondary,0,167,1,1,cellular,8,may,380,4,295,1,failure,0
35,management,married,tertiary,0,552,1,1,cellular,19,nov,314,2,124,1,failure,0
28,technician,married,secondary,0,232,1,1,cellular,29,jan,72,1,261,1,failure,0
40,services,married,secondary,0,-378,1,1,cellular,13,may,541,1,295,6,failure,0
45,admin.,married,secondary,0,72,1,1,cellular,15,may,262,2,352,2,failure,0
30,management,married,secondary,0,-559,1,1,cellular,7,may,98,1,167,2,failure,0
36,management,single,tertiary,0,-679,1,1,cellular,7,may,172,1,93,1,failure,0
36,technician,married,tertiary,0,629,1,1,cellular,29,dec,109,1,246,1,failure,0
50,self-employed,married,secondary,0,2061,1,1,cellular,29,jan,197,2,244,3,failure,0
43,technician,married,secondary,0,0,1,1,cellular,4,feb,539,8,204,5,failure,0
26,entrepreneur,married,tertiary,0,37,1,1,cellular,6,may,207,1,363,2,failure,0
36,unemployed,married,secondary,0,-872,1,1,cellular,20,nov,153,1,183,1,failure,0
50,technician,married,tertiary,0,199,1,1,cellular,3,feb,116,2,253,1,failure,0
35,admin.,married,secondary,0,147,1,1,cellular,29,jan,41,1,184,7,failure,0
50,management,divorced,tertiary,0,100,1,1,cellular,13,may,157,1,299,3,failure,0
32,admin.,married,secondary,0,0,1,1,cellular,17,nov,159,2,195,2,failure,0
31,blue-collar,married,secondary,0,3653,1,1,cellular,21,nov,252,1,168,4,failure,0
32,technician,single,secondary,0,309,1,1,cellular,16,apr,346,1,234,3,failure,0
33,blue-collar,married,secondary,0,139,1,1,cellular,18,may,732,2,291,5,failure,1
50,technician,divorced,secondary,0,-54,1,1,cellular,13,may,698,2,292,1,failure,1
30,technician,single,secondary,0,-522,1,1,cellular,5,may,670,2,286,6,failure,1
42,blue-collar,single,secondary,0,1080,1,1,cellular,13,may,951,3,370,4,failure,1
51,management,single,tertiary,1,-55,1,0,cellular,11,may,281,2,266,6,failure,0
67,retired,married,unknown,0,696,0,0,telephone,17,aug,119,1,105,2,failure,0
32,blue-collar,single,secondary,0,228,0,0,telephone,5,feb,176,1,288,3,failure,0
59,housemaid,married,secondary,0,0,0,0,telephone,3,feb,722,1,99,4,failure,0
54,technician,married,secondary,0,0,0,0,telephone,16,nov,986,1,94,8,failure,0
28,technician,single,secondary,0,3,0,0,telephone,18,may,40,8,349,6,failure,0
20,student,single,secondary,0,291,0,0,telephone,11,may,172,5,371,5,failure,0
48,management,married,tertiary,0,60,0,0,telephone,7,may,376,2,339,7,failure,0
47,housemaid,single,tertiary,0,3232,0,0,telephone,6,oct,541,1,204,3,failure,0
54,blue-collar,married,secondary,0,0,0,0,telephone,16,apr,1366,1,150,1,failure,0
77,retired,married,primary,0,680,0,0,telephone,24,feb,513,2,89,7,failure,0
36,management,married,tertiary,0,1582,0,0,telephone,3,feb,26,2,197,1,failure,0
66,retired,married,primary,0,747,0,0,telephone,28,jan,203,3,93,1,failure,0
77,retired,married,primary,0,680,0,0,telephone,27,nov,341,4,94,3,failure,0
59,entrepreneur,married,primary,0,0,0,0,telephone,19,nov,207,2,153,1,failure,0
70,retired,married,secondary,0,1164,0,0,telephone,14,may,338,3,185,2,failure,0
79,retired,divorced,unknown,0,2628,0,0,telephone,8,jul,220,7,450,2,failure,0
70,retired,divorced,secondary,0,6850,0,0,telephone,5,mar,252,3,183,1,failure,0
52,services,married,secondary,0,657,0,0,telephone,7,jul,398,2,460,2,failure,1
80,retired,married,secondary,0,8304,0,0,telephone,9,jun,712,1,64,12,failure,1
83,retired,married,primary,0,425,0,0,telephone,22,jun,883,1,140,1,failure,1
59,management,married,primary,0,1727,0,0,telephone,25,may,500,4,358,2,failure,1
73,retired,married,unknown,0,519,0,0,telephone,16,oct,434,1,57,1,failure,1
37,services,married,secondary,0,1328,1,0,telephone,13,may,121,2,341,4,failure,0
44,management,married,secondary,0,438,1,0,telephone,8,may,37,3,303,1,failure,0
46,management,divorced,tertiary,0,6269,1,0,telephone,18,nov,249,3,112,2,failure,0
31,technician,single,secondary,0,102,1,0,telephone,17,apr,460,2,345,2,failure,0
45,entrepreneur,married,primary,0,58,1,0,telephone,13,may,119,3,371,3,failure,0
33,blue-collar,divorced,primary,0,142,1,0,telephone,11,may,41,2,300,5,failure,0
47,technician,divorced,tertiary,0,477,1,0,telephone,7,may,973,1,366,1,failure,0
38,management,single,tertiary,0,16957,1,0,telephone,29,jan,208,1,247,2,failure,0
40,blue-collar,married,primary,0,1397,1,0,telephone,12,may,58,2,334,1,failure,0
55,management,divorced,tertiary,0,481,1,0,telephone,8,may,147,2,298,3,failure,0
38,management,single,tertiary,0,8669,1,0,telephone,20,apr,5,3,150,6,failure,0
34,blue-collar,married,secondary,0,360,1,0,telephone,19,nov,46,1,182,2,failure,0
46,blue-collar,married,secondary,0,-1400,1,0,telephone,6,may,309,3,355,4,failure,0
51,blue-collar,married,primary,0,377,1,0,telephone,3,feb,143,4,272,1,failure,0
36,services,married,secondary,0,3064,1,0,telephone,26,aug,240,3,107,4,failure,0
31,technician,single,secondary,0,4888,1,0,telephone,5,may,475,4,166,2,failure,0
49,blue-collar,married,primary,0,474,1,1,telephone,9,feb,152,3,221,1,failure,0
48,management,single,tertiary,0,8106,0,0,unknown,17,nov,125,1,111,3,failure,0
38,management,single,tertiary,0,11971,1,0,unknown,17,nov,609,2,101,3,failure,0
35,blue-collar,married,secondary,0,137,0,1,unknown,4,oct,5,1,808,12,failure,0
51,management,married,tertiary,0,176,1,1,unknown,1,jun,8,1,687,2,failure,0
31,services,married,secondary,0,132,0,0,cellular,7,jul,148,1,152,1,other,0
61,retired,married,secondary,0,5207,0,0,cellular,11,sep,336,1,81,2,other,0
49,blue-collar,married,secondary,0,171,0,0,cellular,4,feb,19,3,175,2,other,0
26,technician,single,secondary,0,455,0,0,cellular,29,jan,240,1,182,8,other,0
50,management,married,tertiary,0,2881,0,0,cellular,5,aug,510,2,2,5,other,0
40,self-employed,married,tertiary,0,13669,0,0,cellular,15,oct,138,1,136,8,other,0
27,unemployed,single,secondary,0,3276,0,0,cellular,5,aug,106,1,110,2,other,0
43,management,single,tertiary,0,146,0,0,cellular,21,nov,50,1,113,5,other,0
29,admin.,single,secondary,0,1448,0,0,cellular,10,mar,217,1,184,7,other,0
